Private School Name,State Name [Private School] Latest available year,Phone Number [Private School] 2009-10,Mailing Address [Private School] 2009-10,City [Private School] 2009-10,State Abbr [Private School] Latest available year,ZIP [Private School] 2009-10
ASPEN CHRISTIAN,CALIFORNIA,7602456113,PO BOX 2439,VICTORVILLE,CA ,92393
ASPEN CHRISTIAN SCHOOL,COLORADO,3037765866,316 15TH AVE,LONGMONT,CO ,80501
ASPEN COUNTRY DAY SCHOOL,COLORADO,9709251909,3 MUSIC SCHOOL RD,ASPEN,CO ,81611
ASPEN RANCH,UTAH,4358362080,PO BOX 369,LOA,UT ,84747
ASPENWOOD CHRISTIAN SCHOOL,IOWA,7122242575,3636 ASPENWOOD ST,SIOUX CITY,IA ,51104
ASPIRE DAY SCHOOL,NORTH CAROLINA,8282265533,PO BOX 250,BALSAM,NC ,28707
ASPIRE OF WNY/CTR FOR LEARNING,NEW YORK,7165055700,4635 UNION RD,CHEEKTOWAGA,NY ,14225
ASSEMBLY CHRISTIAN SCHOOL,LOUISIANA,3373644340,4219 E ADMIRAL DOYLE DR,NEW IBERIA,LA ,70560
ASSETS SCHOOL,HAWAII,8084403616,1 OHANA NUI WAY,HONOLULU,HI ,96818
ASSISTANCE LEAGUE OF ANTELOPE VALLEY PRESCHOOL &,CALIFORNIA,6619481513,808 W NEWGROVE ST,LANCASTER,CA ,93534
ASSISTANCE LEAGUE OF SOUTHERN CALIFORNIA,CALIFORNIA,3234644063,1375 N ST ANDREWS PL,HOLLYWOOD,CA ,90028
ASSUMPTION -GUADALUPE CATHOLIC SCHOOL,NEBRASKA,4027344504,5602 S 22ND ST,OMAHA,NE ,68107
ASSUMPTION ACADEMY,OHIO,4405264877,9183 BROADVIEW RD,BROADVIEW HEIGHTS,OH ,44147
ASSUMPTION ACADEMY,NEW JERSEY,2012620300,35 JEFFERSON AVE,EMERSON,NJ ,07630
ASSUMPTION BVM ELEMENTARY SCHOOL,WISCONSIN,9208225650,109 E PULASKI ST,PULASKI,WI ,54162
ASSUMPTION BVM SCHOOL,PENNSYLVANIA,6108699576,290 STATE RD,WEST GROVE,PA ,19390
ASSUMPTION BVM SCHOOL,PENNSYLVANIA,2153575499,55 E BRISTOL RD,FEASTERVILLE TREVOSE,PA ,19053
ASSUMPTION BVM SCHOOL,MICHIGAN,6163636513,6393 BELMONT AVE NE,BELMONT,MI ,49306
ASSUMPTION CATHOLIC SCHOOL,FLORIDA,9043981774,2431 ATLANTIC BLVD,JACKSONVILLE,FL ,32207
ASSUMPTION CATHOLIC SCHOOL,COLORADO,3032882159,2341 E 78TH AVE,DENVER,CO ,80229
ASSUMPTION CATHOLIC SCHOOL,NEW JERSEY,7328268721,MEREDITH AND JACQUES STS,PERTH AMBOY,NJ ,08861
ASSUMPTION CATHOLIC SCHOOL,TEXAS,2814472132,801 ROSELANE ST,HOUSTON,TX ,77037
ASSUMPTION CATHOLIC SCHOOL,WISCONSIN,7156725617,901 W PROSPECT ST,DURAND,WI ,54736
ASSUMPTION CATHOLIC SCHOOL,WASHINGTON,3607336133,2116 CORNWALL AVE,BELLINGHAM,WA ,98225
ASSUMPTION ELEMENTARY SCHOOL,WASHINGTON,5093281115,3618 W INDIAN TRAIL RD,SPOKANE,WA ,99208
ASSUMPTION HIGH SCHOOL,WISCONSIN,7154220918,445 CHESTNUT ST,WISCONSIN RAPIDS,WI ,54494
ASSUMPTION HIGH SCHOOL,IOWA,5633265313,1020 W CENTRAL PARK AVE,DAVENPORT,IA ,52804
ASSUMPTION HIGH SCHOOL,KENTUCKY,5024589551,2170 TYLER LN,LOUISVILLE,KY ,40205
ASSUMPTION MIDDLE SCHOOL,WISCONSIN,7154220950,440 MEAD ST,WISCONSIN RAPIDS,WI ,54494
ASSUMPTION OF THE BVM ELEMENTARY SCHOOL,CALIFORNIA,6267932089,2660 E ORANGE GROVE BLVD,PASADENA,CA ,91107
ASSUMPTION OF THE BVM SCHOOL,NEW JERSEY,9735380590,63 MACCULLOCH AVE,MORRISTOWN,NJ ,07960
ASSUMPTION PARISH SCHOOL,MISSOURI,3144876520,4709 MATTIS RD,SAINT LOUIS,MO ,63128
ASSUMPTION REGIONAL CATHOLIC SCHOOL,NEW JERSEY,6096527134,146 S PITNEY RD,ABSECON,NJ ,08205
ASSUMPTION SCHOOL,NEW JERSEY,8567670569,2122 COOPER RD,ATCO,NJ ,08004
ASSUMPTION SCHOOL,NEW JERSEY,2019330239,151 1ST ST,WOOD RIDGE,NJ ,07075
ASSUMPTION SCHOOL,OHIO,4404662104,30 LOCKWOOD ST,GENEVA,OH ,44041
ASSUMPTION SCHOOL,WASHINGTON,5095259283,2066 E ALDER ST,WALLA WALLA,WA ,99362
ASSUMPTION SCHOOL,CONNECTICUT,8606490889,27 ADAMS ST S,MANCHESTER,CT ,06040
ASSUMPTION SCHOOL,CONNECTICUT,2037340855,51 N CLIFF ST,ANSONIA,CT ,06401
ASSUMPTION SCHOOL,IOWA,5159992211,PO BOX 100,GRANGER,IA ,50109
ASSUMPTION SCHOOL,CALIFORNIA,3232694319,3016 WINTER ST,LOS ANGELES,CA ,90063
ASSUMPTION SCHOOL,CALIFORNIA,5103578772,1851 136TH AVE,SAN LEANDRO,CA ,94578
ASSUMPTION SCHOOL,MASSACHUSETTS,5088655404,17 GROVE ST,MILLBURY,MA ,01527
ASSUMPTION SCHOOL,MISSOURI,6362404474,203 W 3RD ST,O'FALLON,MO ,63366
ASSUMPTION SCHOOL,MINNESOTA,2182633054,2310 7TH AVE E,HIBBING,MN ,55746
ASSUMPTION SCHOOL,NEW YORK,9147370680,920 1ST ST,PEEKSKILL,NY ,10566
ASSUMPTION-ST BRIDGET SCHOOL,WASHINGTON,2065247452,6220 32ND AVE NE,SEATTLE,WA ,98115
ASSURANCE ACADEMY CHRISTIAN HOMESCHOOL,FLORIDA,3216380985,1009 FISKE BLVD,ROCKLEDGE,FL ,32955
ASTON PRESBYTERIAN CHURCH DAYCARE LEARNING CENTER,PENNSYLVANIA,6104946072,2401 BALDWIN RUN DR,ASTON,PA ,19014
ASTOR HOME FOR CHILDREN,NEW YORK,8458711032,PO BOX 5005,RHINEBECK,NY ,12572
ASTRA SAILING ACADEMY,FLORIDA,7275506189,306 VINE AVE,CLEARWATER,FL ,33755
ASTRA ZENECA CHILD DEVELOPMENT CENTER,DELAWARE,3026549120,1920 ROCKLAND RD,WILMINGTON,DE ,19803
ATASCOCITA MONTESSORI SCHOOL,TEXAS,2818527738,19120 W LAKE HOUSTON PKWY,HUMBLE,TX ,77346
ATCHISON CATHOLIC ELEMENTARY S,KANSAS,9133673503,201 DIVISION ST,ATCHISON,KS ,66002
ATCO ENTERPRISES,SOUTH DAKOTA,6058860123,PO BOX 1030,WATERTOWN,SD ,57201
ATERES BAIS YAAKOV ACADEMY OF ROCKLAND,NEW YORK,8453682200,236 CHERRY LN,AIRMONT,NY ,10952
ATERES RIVKA OF FORSHEY,NEW YORK,8455786599,230 VIOLA RD,MONSEY,NY ,10952
ATG LEARNING ACADEMY,PENNSYLVANIA,2678031751,955 LOUIS DR,WARMINSTER,PA ,18974
ATHENEUM SCHOOL,ALASKA,9073442533,1920 W DIMOND BLVD,ANCHORAGE,AK ,99515
ATHENS ACADEMY,GEORGIA,7064332376,PO BOX 6548,ATHENS,GA ,30604
ATHENS BIBLE SCHOOL,ALABAMA,2562325478,507 HOFFMAN ST,ATHENS,AL ,35611
ATHENS CHRISTIAN ACADEMY,TEXAS,9036755135,105 S CARROLL ST,ATHENS,TX ,75751
ATHENS CHRISTIAN SCHOOL,GEORGIA,7065497586,1270 HIGHWAY 29 N,ATHENS,GA ,30601
ATHENS COUNTY CHRISTIAN ACADEMY,OHIO,7405923705,219B COLUMBUS RD,ATHENS,OH ,45701
ATHENS MONTESSORI SCHOOL INC,GEORGIA,7065498490,3145 BARNETT SHOALS RD,ATHENS,GA ,30605
ATHOLTON ADVENTIST ACADEMY,MARYLAND,4107402425,6520 MARTIN RD,COLUMBIA,MD ,21044
ATKINSON YOUTH SERVICES SCHOOL,CALIFORNIA,9169773790,3600 FAIR OAKS BLVD,SACRAMENTO,CA ,95864
ATLANTA ADVENTIST ACADEMY,GEORGIA,4046991400,PO BOX 4088,DULUTH,GA ,30096
ATLANTA ADVENTIST INTERNATIONAL SCHOOL,GEORGIA,6783612912,PO BOX 341,TUCKER,GA ,30085
ATLANTA COUNTRY DAY SCHOOL,GEORGIA,7709980311,8725 DUNWOODY PL STE 2,ATLANTA,GA ,30350
ATLANTA GIRLS SCHOOL,GEORGIA,4048450900,3254 NORTHSIDE PKWY NW,ATLANTA,GA ,30327
ATLANTA MONTESSORI INTERNATIONAL SCHOOL,GEORGIA,4043256777,1970 CLIFF VALLEY WAY NE,ATLANTA,GA ,30329
ATLANTA NEW CENTURY SCHOOL,GEORGIA,4045251909,120 RALPH MCGILL BLVD NE,ATLANTA,GA ,30308
ATLANTA NORTH SCHOOL OF SEVENTH-DAY ADVENTISTS,GEORGIA,7705128456,5123 CHAMBLEE DUNWOODY RD,DUNWOODY,GA ,30338
ATLANTA SPEECH SCHOOL,GEORGIA,4042335332,3160 NORTHSIDE PKWY NW,ATLANTA,GA ,30327
ATLANTA YOUTH ACADEMY,GEORGIA,4043701960,2120 FORREST PARK RD SE,ATLANTA,GA ,30315
ATLANTIC CHRISTIAN SCHOOL,NEW JERSEY,6096531199,391 ZION RD,EGG HARBOR TOWNSHIP,NJ ,08234
ATLANTIC INCLUSIVE ACADEMY,FLORIDA,3216380040,825 FORREST AVE,COCOA,FL ,32922
ATLANTIC SOUTHEASTERN ACADEMY,FLORIDA,3052616930,7890 W FLAGLER ST,MIAMI,FL ,33144
ATLANTIS ACADEMY,FLORIDA,9547527571,10193 NW 31ST ST,CORAL SPRINGS,FL ,33065
ATLANTIS ACADEMY,FLORIDA,3052719771,9600 SW 107TH AVE,MIAMI,FL ,33176
ATLANTIS ACADEMY PALM BEACHES,FLORIDA,5616423100,1950 PRAIRIE RD,WEST PALM BEACH,FL ,33406
ATLANTIS PREP SCHOOL,NEW JERSEY,7325285437,1904 ATLANTIC AVE,MANASQUAN,NJ ,08736
ATLAS INTERNATIONAL SCHOOL,NORTH CAROLINA,9196232323,1280 BUCK JONES RD,RALEIGH,NC ,27606
ATLAS PREPARATORY ACADEMY,WISCONSIN,4143850771,2911 S 32ND ST,MILWAUKEE,WI ,53215
ATMORE CHRISTIAN SCHOOL,ALABAMA,2513625499,245 TENNANT DR,ATMORE,AL ,36502
ATONEMENT CHRISTIAN DAY SCHOOL,ILLINOIS,8473826360,909 E MAIN ST,BARRINGTON,IL ,60010
ATONEMENT LUTHERAN,ARIZONA,6233743019,4001 W BEARDSLEY RD,GLENDALE,AZ ,85308
ATONEMENT LUTHERAN SCHOOL,LOUISIANA,5048870225,6500 RIVERSIDE DR,METAIRIE,LA ,70003
ATONEMENT LUTHERAN SCHOOL,WISCONSIN,4148711224,4224 W RUBY AVE,MILWAUKEE,WI ,53209
ATONEMENT LUTHERAN SCHOOL,MISSOURI,3148371252,1285 N NEW FLORISSANT RD,FLORISSANT,MO ,63031
ATRIUM SCHOOL,MASSACHUSETTS,6179234156,69 GROVE ST,WATERTOWN,MA ,02472
ATT PTACH SPECIAL EDUCATION PROGRAM,ILLINOIS,7739732828,2828 W PRATT BLVD,CHICAGO,IL ,60645
AUBERLE EDUCATION CENTER,PENNSYLVANIA,4123260023,120 E 9TH AVE,HOMESTEAD,PA ,15120
AUBERRY SEVENTH-DAY ADVENTIST SCHOOL,CALIFORNIA,5598558880,PO BOX 288,PRATHER,CA ,93651
AUBURN ADVENTIST ACADEMY,WASHINGTON,2539395000,5000 AUBURN WAY S,AUBURN,WA ,98092
AUBURN AREA CATHOLIC SCHOOL,MICHIGAN,9896626431,114 W MIDLAND RD,AUBURN,MI ,48611
AUBURN HILLS CHRISTIAN SCHOOL,MICHIGAN,2483733399,PO BOX 4386,AUBURN HILLS,MI ,48321
AUBURN MONTESSORI SCHOOL,NEW HAMPSHIRE,6036271691,78 ROCKINGHAM RD,AUBURN,NH ,03032
AUCILLA CHRISTIAN ACADEMY,FLORIDA,8509973597,7803 AUCILLA RD,MONTICELLO,FL ,32344
AUCOCISCO SCHOOL,MAINE,2077737323,126 SPURWINK AVE,CAPE ELIZABETH,ME ,04107
AUGSBURG ACADEMY,MARYLAND,2407860283,13800 OLD GUNPOWDER RD,LAUREL,MD ,20707
AUGSBURG PARK MONTESSORI SCHOOL,MINNESOTA,6128698155,7121 BLOOMINGTON AVE,RICHFIELD,MN ,55423
AUGUSTA CHRISTIAN SCHOOLS,GEORGIA,7068632905,313 BASTON RD,MARTINEZ,GA ,30907
AUGUSTA LEVY LEARNING CENTER,WEST VIRGINIA,3042426722,99 MAIN ST,WHEELING,WV ,26003
AUGUSTA MENNONITE SCHOOL,WISCONSIN,7152802427,S8820 BARTIG RD,AUGUSTA,WI ,54722
AUGUSTA PREPARATORY DAY SCHOOL,GEORGIA,7068631906,285 FLOWING WELLS RD,MARTINEZ,GA ,30907
AUGUSTA SDA SCHOOL,GEORGIA,7066510491,4301 WHEELER RD,AUGUSTA,GA ,30907
AUGUSTE MONTESSORI,DISTRICT OF COLUMBIA,2022371788,3600 ELLICOTT ST NW,WASHINGTON,DC ,20008
AUGUSTINE PREPARATORY ACADEMY OF ATLANTA,GEORGIA,4043265132,4650 FLAT SHOALS PKWY,DECATUR,GA ,30034
AUGUSTINE SCHOOL,TENNESSEE,7316606822,1171 OLD HUMBOLDT RD,JACKSON,TN ,38305
AUGUSTINIAN ACADEMY,NEW YORK,3154931301,317 WEST ST,CARTHAGE,NY ,13619
AUKELA CHRISTIAN MILITARY ACADEMY,FLORIDA,9549297010,2835 MADISON ST,HOLLYWOOD,FL ,33020
AULDERN ACADEMY,NORTH CAROLINA,9198372336,990 GLOVERS GROVE CHURCH RD,SILER CITY,NC ,27344
AULTMAN BAPTIST CHURCH ACADEMY,PENNSYLVANIA,7247268060,PO BOX 53,KENT,PA ,15752
AUNTIE B PRESCHOOL & KINDERGARTEN,LOUISIANA,5042429299,8001 LAFOURCHE ST,NEW ORLEANS,LA ,70127
AURORA CDC,CALIFORNIA,4083712605,995 APRICOT AVE,CAMPBELL,CA ,95008
AURORA CENTRAL CATHOLIC HIGH SCHOOL,ILLINOIS,6309070095,1255 N EDGELAWN DR,AURORA,IL ,60506
AURORA CHRISTIAN SCHOOLS,ILLINOIS,6302643866,2255 SULLIVAN RD,AURORA,IL ,60506
AURORA EDUCATION CENTER,ILLINOIS,6309067900,191 POPLAR PL,NORTH AURORA,IL ,60542
AURORA MONTESSORI SCHOOL,ILLINOIS,6308984346,3180 N AURORA RD,AURORA,IL ,60502
AURORA SCHOOL,CALIFORNIA,5104282606,40 DULWICH RD,OAKLAND,CA ,94618
AURORA SCHOOL,VERMONT,8023882637,238 PETERSON TER,MIDDLEBURY,VT ,05753
AURORA WALDORF SCHOOL,NEW YORK,7166552029,525 W FALLS RD,WEST FALLS,NY ,14170
AURORA WALDORF SCHOOL OF ALASKA,ALASKA,9073339062,3250 BAXTER RD,ANCHORAGE,AK ,99504
AUSTIN CATHOLIC ELEMENTARY SCHOOL,MINNESOTA,5074338859,511 4TH AVE NW,AUSTIN,MN ,55912
AUSTIN CITY ACADEMY,TEXAS,5122884883,PO BOX 92737,AUSTIN,TX ,78709
AUSTIN ECOSCHOOL,TEXAS,5124478516,2901 MANCHACA RD,AUSTIN,TX ,78704
AUSTIN INTERNATIONAL SCHOOL,TEXAS,5123317806,12001 OAK KNOLL DR,AUSTIN,TX ,78759
AUSTIN JEWISH ACADEMY,TEXAS,5127358350,7300 HART LN,AUSTIN,TX ,78731
AUSTIN MONTESSORI GREAT NORTHERN CAMPUS,TEXAS,5124501940,6817 GREAT NORTHERN BLVD,AUSTIN,TX ,78757
AUSTIN MONTESSORI SCHOOL,TEXAS,5128920253,5006 SUNSET TRL,AUSTIN,TX ,78745
AUSTIN PEACE ACADEMY,TEXAS,5129261737,5110 MANOR RD,AUSTIN,TX ,78723
AUSTIN SDA JR ACADEMY,TEXAS,5124598976,PO BOX 340370,AUSTIN,TX ,78734
AUSTIN WALDORF SCHOOL,TEXAS,5122885942,8700 S VIEW RD,AUSTIN,TX ,78737
AUSTINE SCHOOL FOR THE DEAF,VERMONT,8022589500,60 AUSTINE DR,BRATTLEBORO,VT ,05301
AUTAUGA ACADEMY,ALABAMA,3343654343,497 GOLSON RD,PRATTVILLE,AL ,36067
AUTISM ACADEMY,CALIFORNIA,8188820200,20040 PARTHENIA ST,NORTHRIDGE,CA ,91324
AUTISM TRAINING CENTER AT GIANT STEPS ILLINOIS,ILLINOIS,6308643800,2500 CABOT DR,LISLE,IL ,60532
AVA VICTORY ACADEMY,MISSOURI,4176836630,PO BOX 608,AVA,MO ,65608
AVALON ACADEMY,CALIFORNIA,6507779130,818 MAHLER RD,BURLINGAME,CA ,94010
AVALON CHILDCARE FIFTH AVENUE,NEW YORK,7187684300,552 5TH AVE,BROOKLYN,NY ,11215
AVALON SCHOOL,FLORIDA,4072974353,5002 ANDRUS AVE,ORLANDO,FL ,32804
AVALON SCHOOL,MARYLAND,3019638022,200 W DIAMOND AVE,GAITHERSBURG,MD ,20877
AVALON TRIUMVIRATE ACADEMY,VERMONT,8028492488,1841 MAIN ST,FAIRFAX,VT ,05454
AVE MARIA ACADEMY,WISCONSIN,7156474630,PO BOX 127,PLUM CITY,WI ,54761
AVE MARIA CATHOLIC SCHOOL,COLORADO,7208425400,9056 E PARKER RD,PARKER,CO ,80138
AVENTURA LEARNING CENTERS,FLORIDA,3059400408,2221 NE 171ST ST,NORTH MIAMI BEACH,FL ,33160
AVENTURA MONTESSORI SCHOOL,FLORIDA,9544565609,123 SE 1ST AVE,HALLANDALE BEACH,FL ,33009
AVERY COONLEY SCHOOL,ILLINOIS,6309690800,1400 MAPLE AVE,DOWNERS GROVE,IL ,60515
AVICENNA ACADEMY,INDIANA,2197367100,9803 COLORADO ST,CROWN POINT,IN ,46307
AVILLA CHRISTIAN ACADEMY,ARKANSAS,5013160922,302 AVILLA E,ALEXANDER,AR ,72002
AVIR YAAKOV GIRLS' SCHOOL,NEW YORK,8453626600,15 N ROOSEVELT AVE,SPRING VALLEY,NY ,10977
AVIVA HIGH SCHOOL,CALIFORNIA,3238760550,7120 FRANKLIN AVE,LOS ANGELES,CA ,90046
AVON CHILDRENS CENTER,MASSACHUSETTS,5085802572,152 HIGHLAND ST,AVON,MA ,02322
AVON GROVE NAZARENE ACADEMY,PENNSYLVANIA,6108699530,240 STATE RD,WEST GROVE,PA ,19390
AVON MONTESSORI SCHOOL,OHIO,4409341774,2350 RIDGELAND DR,AVON,OH ,44011
AVON OLD FARMS SCHOOL,CONNECTICUT,8604044100,500 OLD FARMS RD,AVON,CT ,06001
AVONDALE HOUSE,TEXAS,7139939544,3737 OMEARA DR,HOUSTON,TX ,77025
AVONDALE SDA ELEMENTARY SCHOOL,TENNESSEE,4236985028,1201 N ORCHARD KNOB AVE,CHATTANOOGA,TN ,37406
AW SPALDING ELEMENTARY SCHOOL,TENNESSEE,4238999084,PO BOX 568,COLLEGEDALE,TN ,37315
AWAKENING CHILD MONTESSORI SCHOOL,MARYLAND,4108360833,604 YARMOUTH LN,BEL AIR,MD ,21014
AWAKENING SEED SCHOOL,ARIZONA,6024542606,6630 S 40TH ST,PHOENIX,AZ ,85042
AXEVILLE SCHOOL,NEW YORK,,NORTH EAST RD,CONEWANGO VALLEY,NY ,14726
AXIOS ACADEMY,ALASKA,9073733547,300 E KALLI CIR,WASILLA,AK ,99654
AYLETT COUNTRY DAY SCHOOL,VIRGINIA,8044433214,PO BOX 70,MILLERS TAVERN,VA ,23115
AZALEA GARDEN CHRISTIAN SCHOOL,VIRGINIA,7578553563,5160 BEAMON RD,NORFOLK,VA ,23513
AZALEA PARK BAPTIST SCHOOL,FLORIDA,4072774056,5725 DAHLIA DR,ORLANDO,FL ,32807
AZLE CHRISTIAN SCHOOLS,TEXAS,8174449964,1801 S STEWART ST,AZLE,TX ,76020
B & P YOUNG SEVENTH-DAY ADVENTIST SCHOOL,VIRGINIA,4348220356,212 INGRAM RD,DANVILLE,VA ,24541
B'NOT RACHEL HIGH SCHOOL FOR GIRLS,NEW YORK,7183821555,1950 E 7TH ST,BROOKLYN,NY ,11223
BABYLON CHRISTIAN SCHOOL,NEW YORK,6314224340,79 E MAIN ST,BABYLON,NY ,11702
BACHMAN ACADEMY,TENNESSEE,4234794523,414 BRYMER CREEK RD,MC DONALD,TN ,37353
BACK BAY CHRISTIAN ACADEMY,VIRGINIA,7574267943,1212 PRINCESS ANNE RD,VIRGINIA BEACH,VA ,23457
BACK BAY MONTESSORI,CALIFORNIA,9495483771,398 UNIVERSITY DR,COSTA MESA,CA ,92627
BACK CREEK CHRISTIAN ACADEMY,NORTH CAROLINA,7045494101,1827 BACK CREEK CHURCH RD,CHARLOTTE,NC ,28213
BACK TO THE BASICS LEARNING ACADEMY,NEW MEXICO,5056107853,1160 BOSQUE FARMS BLVD STE F,BOSQUE FARMS,NM ,87068
BACOT ACADEMY INC,FLORIDA,8502481118,PO BOX 7355,PANAMA CITY BEACH,FL ,32413
BADDOW PASS SCHOOL,OHIO,,14338 COUNTY ROAD 75,BRINKHAVEN,OH ,43006
BADGER STATE BAPTIST SCHOOL & FAITH BAPTIST CHRUCH,WISCONSIN,4146436843,1170 W WINDLAKE AVE,MILWAUKEE,WI ,53215
BADR SCHOOL,NEW JERSEY,2014351075,539 BERGEN AVE,JERSEY CITY,NJ ,07304
BAILEYS CRADLE & CLASS CHRISTIAN ACADEMY & DAYCARE,TEXAS,2149415670,813 N ZANG BLVD,DALLAS,TX ,75208
BAIS BROCHO OF KARLIN STOLIN,NEW YORK,7188531222,4314 10TH AVE,BROOKLYN,NY ,11219
BAIS CHANA CHABAD,CALIFORNIA,3102788995,9017 W PICO BLVD,LOS ANGELES,CA ,90035
BAIS CHAYA MUSHKA SCHOOL (GIRLS),CALIFORNIA,3108590770,9051 W PICO BLVD,LOS ANGELES,CA ,90035
BAIS CHAYA MUSHKA-OHOLEI MENACHEM TORAH ED PROG,IOWA,5638643632,PO BOX 1025,POSTVILLE,IA ,52162
BAIS CHINUCH L'BONOIS,NEW YORK,8453710799,PO BOX 793,MONSEY,NY ,10952
BAIS HAMEDRASH & MESIVTA OF BALTIMORE,MARYLAND,4104860006,6823 OLD PIMLICO RD,BALTIMORE,MD ,21209
BAIS KAILA TORAH PREPARATORY HIGH SCHOOL FOR GIRLS,NEW JERSEY,7323704300,PO BOX 952,LAKEWOOD,NJ ,08701
BAIS MALKA GIRLS SCHOOL OF BELZ,NEW YORK,8453549500,40 GRANDVIEW AVE,SPRING VALLEY,NY ,10977
BAIS MENACHEM HEBREW ACADEMY,TEXAS,5123432500,4210 SPICEWOOD SPRINGS RD STE 100,AUSTIN,TX ,78759
BAIS MENACHEM YESHIVA DAY SCHOOL,CALIFORNIA,4159020886,834 28TH AVE,SAN FRANCISCO,CA ,94121
BAIS RACHEL SCHOOL,NEW YORK,7184387829,5301 14TH AVE,BROOKLYN,NY ,11219
BAIS REUVAIN KAMINETZ OF LAKEWOOD,NEW JERSEY,7323630579,112 CLIFTON AVE,LAKEWOOD,NJ ,08701
BAIS RIVKA ROCHEL SCHOOL,NEW JERSEY,7323678635,285 RIVER AVE,LAKEWOOD,NJ ,08701
BAIS ROCHEL,NEW JERSEY,7329051251,115 CAREY ST,LAKEWOOD,NJ ,08701
BAIS ROCHEL SCHOOL,NEW YORK,7189639287,62 HARRISON AVE,BROOKLYN,NY ,11211
BAIS ROCHEL SCHOOL,NEW YORK,5457421004,PO BOX 567,MONROE,NY ,10949
BAIS SARAH-EDUC SCHOOL FOR GIRLS,NEW YORK,7188717571,6101 16TH AVE,BROOKLYN,NY ,11204
BAIS SHAINDEL HIGH SCHOOL FOR GIRLS,NEW JERSEY,7323637074,685 RIVER AVE,LAKEWOOD,NJ ,08701
BAIS YAAKOV ACADEMY,NEW YORK,7183394747,1213 ELM AVE,BROOKLYN,NY ,11230
BAIS YAAKOV ACADEMY,NEW YORK,7188475352,12450 METROPOLITAN AVE,KEW GARDENS,NY ,11415
BAIS YAAKOV BNOS RIVKA,NEW JERSEY,7329018700,1501 CANTERBURY RD,LAKEWOOD,NJ ,08701
BAIS YAAKOV CHOFETZ CHAIM OF POMONA,NEW YORK,8453623166,PO BOX 704,POMONA,NY ,10970
BAIS YAAKOV D'RAV HIRSCH,NEW YORK,8453716750,235 N MAIN ST STE 5,SPRING VALLEY,NY ,10977
BAIS YAAKOV DGUR HIGH SCHOOL,NEW YORK,7183385600,1975 51ST ST,BROOKLYN,NY ,11204
BAIS YAAKOV ELEMENTARY SCHOOL,NEW JERSEY,7323630329,155 OBERLIN AVE N,LAKEWOOD,NJ ,08701
BAIS YAAKOV EVA WINER HIGH SCHOOL,MARYLAND,4435487700,6302 SMITH AVE,BALTIMORE,MD ,21209
BAIS YAAKOV HIGH SCHOOL,ILLINOIS,7732671494,3333 W PETERSON AVE,CHICAGO,IL ,60659
BAIS YAAKOV HIGH SCHOOL,MINNESOTA,9529159117,4221 SUNSET BLVD,MINNEAPOLIS,MN ,55416
BAIS YAAKOV HIGH SCHOOL OF LAKEWOOD,NEW JERSEY,7323708200,277 JAMES ST,LAKEWOOD,NJ ,08701
BAIS YAAKOV OF 18TH AVE,NEW YORK,7126336050,4419 18TH AVE,BROOKLYN,NY ,11204
BAIS YAAKOV OF BENSONHURST,NEW YORK,7182364100,953 CONEY ISLAND AVE,BROOKLYN,NY ,11230
BAIS YAAKOV OF BOSTON HIGH SCHOOL,MASSACHUSETTS,6179657547,561 WARD ST # 1,NEWTON CENTER,MA ,02459
BAIS YAAKOV OF INDIANA,INDIANA,5742570689,225 W 8TH ST,MISHAWAKA,IN ,46544
BAIS YAAKOV OF MIDWOOD,NEW YORK,7184351166,1277 E 14TH ST,BROOKLYN,NY ,11230
BAIS YAAKOV OF PASSAIC HIGH SCHOOL FOR GIRLS,NEW JERSEY,9733650100,181 PENNINGTON AVE,PASSAIC,NJ ,07055
BAIS YAAKOV OF RAMAPO,NEW YORK,6453560580,16 HERSHEL TER,MONSEY,NY ,10952
BAIS YAAKOV OF SCRANTON,PENNSYLVANIA,5703475003,1025 VINE ST,SCRANTON,PA ,18510
BAIS YAAKOV OF STLOUIS,MISSOURI,3148639230,700 NORTH AND SOUTH RD,SAINT LOUIS,MO ,63130
BAIS YAAKOV SCHOOL FOR GIRLS,MARYLAND,4103633300,11111 PARK HEIGHTS AVE,OWINGS MILLS,MD ,21117
BAIS YAAKOV SCHOOL FOR GIRLS,CALIFORNIA,3239383231,7353 BEVERLY BLVD,LOS ANGELES,CA ,90036
BAIS YAKOV OF KHAL ADAS YEREIM,NEW YORK,7183027500,563 BEDFORD AVE,BROOKLYN,NY ,11211
BAIS YISROEL SCHOOL,NEW YORK,8517949915,213 GIBBER RD,KIAMESHA LAKE,NY ,12751
BAIS YITZCHAK YESHIVA,NEW YORK,7186334802,1413 45TH ST,BROOKLYN,NY ,11219
BAKER ACADEMY,NEW YORK,7168287956,120 ALEXANDER AVE,BUFFALO,NY ,14211
BAKER DEMONSTRATION SCHOOL,ILLINOIS,8474255810,201 SHERIDAN RD,WILMETTE,IL ,60091
BAKER HALL SCHOOL,NEW YORK,7168287835,777 RIDGE RD,LACKAWANNA,NY ,14218
BAKER VALLEY SDA SCHOOL,OREGON,5415234165,42171 CHICO RD,BAKER CITY,OR ,97814
BAKER VICTORY SERVICES,NEW YORK,7168289633,780 RIDGE RD,LACKAWANNA,NY ,14218
BAKER VIEW CHRISTIAN SCHOOL,WASHINGTON,3603848155,5353 WASCHKE RD,BELLINGHAM,WA ,98226
